Train wBCE,Test wBCE,Train ROC_AUC,Test ROC_AUC,Num. features
2.447669923941029,11.67981782367124,0.9997747337540861,0.8900284391661275,18.8
2.2704191544833314,11.647145614169508,0.9999196990740795,0.8904795748350234,22.2
2.1140717863312632,11.625608029709024,0.999973368799887,0.8927831111471771,27.0
2.063793734082716,11.529826125519822,0.9999763338863217,0.8945822537159389,36.4
2.0243826837823073,11.375414295419752,0.9999824873795825,0.8970027418558744,45.0
1.96216401300786,11.495871486992362,0.9999949069682209,0.8939619221051791,50.4
1.9510607409111795,11.578295314828436,0.9999937486450465,0.8941242510847797,52.0
1.958166274099393,11.747599032145581,0.9999931697293226,0.8922179077627735,52.8
1.957793717652848,11.746988392235199,0.9999912086982778,0.8920638766052431,53.0
1.957793717652848,11.746988392235199,0.9999912086982778,0.8920638766052431,53.8
1.957793717652848,11.746988392235199,0.9999912086982778,0.8920638766052431,54.2
1.957793717652848,11.746988392235199,0.9999912086982778,0.8920638766052431,54.2
1.957793717652848,11.746988392235199,0.9999912086982778,0.8920638766052431,54.8
